
Name                         Lines Directory
RevealSection.tsx               18 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
react-query.ts                  16 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
jest.config.js                  14 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
vitest.config.ts                10 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Skeleton.tsx                    10 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
main.tsx                         9 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
vite.config.ts                   9 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
i18next.d.ts                     8 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
postcss.config.js                6 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
postcss.config.js                6 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Loader.tsx                       6 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
index.ts                         4 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useLemonSqueezy.ts               4 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
index.ts                         2 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
vite-env.d.ts                    1 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…

